121896,Gabor,Borsos,0.354665
104735,Tobias,Kamke,0.352849
106150,Jeson,Patrombon,0.352259
108618,Karim,Alayli,0.352259
105733,Rhyne,Williams,0.351523
106169,Vladyslav,Manafov,0.350378
104770,Martin,Fischer,0.349223
106005,Constant,Lestienne,0.349211
110754,David,Vega Hernandez,0.349211
104847,Adrien,Bossel,0.34875
106293,Kimmer,Coppejans,0.348569
105051,Matthew,Ebden,0.347791
111513,Laslo,Djere,0.345151
123921,Calvin,Hemery,0.345151
121971,Duilio,Vallebuona,0.344327
111511,Noah,Rubin,0.343193
105216,Yuichi,Sugita,0.342713
105467,Jordi,Munoz Abreu,0.341242
105554,Daniel,Evans,0.340537
104594,Marinko,Matosevic,0.340082
106362,Laurent,Lokoli,0.338466
106243,Mate,Delic,0.337161
108761,Mikelis,Libietis,0.336618
111192,Lucas,Miedler,0.336532
104676,Andreas,Beck,0.335958
105120,Andres,Molteni,0.335267
109739,Maximilian,Marterer,0.334
106381,Temur,Ismailov,0.333573
106034,Yasutaka,Uchiyama,0.333101
104736,Farrukh,Dustov,0.328538
106378,Kyle,Edmund,0.328049
105111,Ivan,Endara,0.326946
105239,Daniel,Glancy,0.324826
111781,Janis,Podzus,0.323477
105759,Henrik,Sillanpaa,0.32271
104907,Jose Rubin,Statham,0.321359
103821,Danai,Udomchoke,0.318096
145016,Julian,Saborio,0.318033
105341,Thomas,Fabbiano,0.316097
106290,Filip,Peliwo,0.315515
105428,Marcus,Daniell,0.315503
144854,Rudolfs,Mednis,0.313782
122513,Andrei,Soltoianu,0.312242
105026,Takuto,Niki,0.311244
106105,Guilherme,Clezar,0.310758
105401,Matteo,Trevisan,0.310551
105099,Antonio,Veic,0.308047
117356,Cem,Ilkel,0.305755
134886,Sharmal,Dissanayake,0.305631
111506,Maxime,Hamou,0.305536
108972,Ibrahim,Abou Chahine,0.305198
106299,Bar Tzuf,Botzer,0.303783
105613,Norbert,Gombos,0.303338
111794,Kamil,Majchrzak,0.303192
105137,Pere,Riba,0.302103
106136,Warit,Sornbutnark,0.30198
105015,Franco,Skugor,0.300204
121331,Pablo,Nunez,0.297025
104802,Fabrice,Martin,0.294703
104944,Niels,Desein,0.293932
105450,Mike,Urbanija,0.293932
104629,Adrian,Menendez Maceiras,0.291299
104952,Martin,Pedersen,0.289801
105606,Mohsen,Hossein Zade,0.28961
104763,Rafael,Arevalo,0.287973
106368,Ramkumar,Ramanathan,0.287486
103565,Stephane,Robert,0.286146
105590,Uladzimir,Ignatik,0.283391
105302,Ante,Pavic,0.281313
104905,Nicolas,Barrientos,0.280904
104813,Grega,Zemlja,0.280758
105853,Tigre,Hank,0.273271
104505,Konstantin,Kravchuk,0.270995
104297,Rogerio,Dutra Silva,0.270577
105132,Jurgen,Zopp,0.270283
134114,Jad,Ballout,0.268544
106227,Ji Sung,Nam,0.267327
105899,Martin,Cuevas,0.260054
104945,James,Mcgee,0.258274
106232,Roberto,Cid,0.251794
104628,Alexander,Kudryavtsev,0.250719
103875,Anoosha,Shahgholi,0.249782
104672,Vincent,Millot,0.246835
111181,Pruchya,Isarow,0.246053
105587,Tom,Kocevar Desman,0.245448
111167,Ugo,Nastasi,0.231478
109257,Ignaci,Roca,0.225756
111578,Stefan,Kozlov,0.224538
122669,Juan Pablo,Varillas Patino Samudio,0.219983
104656,Haydn,Lewis,0.219352
108786,Seanon,Williams,0.219146
106100,Micke,Kontinen,0.207741
105909,Sam,Barry,0.19989
145023,Maxim,Bulat,0.197848
104216,Maximo,Gonzalez,0.189575
106065,Marco,Cecchinato,0.181813
104433,Frank,Dancevic,0.165035
